Project Name,Modified,Active,Launch Date,Launch status,Other comments,Pipeline,BU,Company,Category,Brand,Exp Rev 2026 (M AED),Exp.Rev. 24 months (M AED),Product code,Code creation date,Target Project Monthly Net Sales (NR) (M AED),Actuals Monthly Net Sales (NR) (M AED),Target Project Monthly Net Sales (Volume),Actuals Monthly Net Sales (Volume),Project Month Target GP (M AED),Actuals Month GP (M AED),Project Month Target NP (M AED),Actuals Month NP (M AED),YTD Target Project Net Sales (NR) (M AED),YTD Actuals Net Sales (NR) (M AED),YTD Target Project Sales (Volume),YTD Actuals Sales (Volume),YTD Project Target GP (M AED),YTD Actuals GP (M AED),YTD Project Target NP (M AED),YTD Actuals NP (M AED),Modified By
Atyab Chicken breaded strips (FS),06-10-2026 04:40,True,01-01-2025,True,,Pipeline 2025,Protein & Frozen,Atyab,Breaded,Atyab,0.0,0.1,11490,,0.88,1.12,,91.58,,,,,0.79,4.93,,405.64,,,,,Maged Galal
Atyab Spicy breaded chicken strips (FS),06-10-2026 04:40,True,01-01-2025,True,,Pipeline 2025,Protein & Frozen,Atyab,Breaded,Atyab,0.0,0.1,11491,,0.5,0.68,,54.9,,,,,0.56,2.79,,229.03,,,,,Maged Galal
Subway Cooked Grilled Chicken Breast Patty,06-10-2026 00:12,True,8/14/2025,True,Alternative in-house recipe due to created to overcome delay in delivery the related seasoning order,Pipeline 2025,Protein & Frozen,Nabil,Chicken product,Nabil,1.72,0.0,FGF10367,8/14/2025,0.0,0.65,,,,,,,0.0,2.59,,,,,,,Mo’men Mafalha
Juniros - Beef Patty 150 gm,06-10-2026 00:12,True,11-04-2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Beef product,QSR Private Label Key Account,0.87,0.0,FGF12484,,0.0,0.39,,,,,,,0.0,0.73,,,,,,,Mo’men Mafalha
Nabil Spicy crunchy Chicken Patty 137 gm,06-10-2026 00:12,True,6/30/2024,True,,2023 + 2024,Protein & Frozen,Nabil,Breaded,Nabil,0.51,0.0,FGF12372,01-06-2024,0.05,0.15,,,,,,,0.02,0.33,,,,,,,Mo’men Mafalha
NP25-13 ansari beef burger 112.5g,06-10-2026 00:12,True,7/15/2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Beef product,Nabil,0.07,0.0,FGF12465,,0.0,0.15,,,,,,,0.0,0.3,,,,,,,Mo’men Mafalha
Meatland Luncheon Reformulation,06-10-2026 05:18,True,12-05-2024,True,This product provided income this year but is now zero sales,2023 + 2024,Protein & Frozen,Atyab,Cold Cuts,Meatland,1.3,0.0,"31700,31701,31702,31703",,0.07,0.11,,8.33,,,,,0.18,0.53,,41.75,,,,,Maged Galal
Juniros - Cooked Chicken Fillet 1 KG - R,06-10-2026 00:12,True,1/31/2026,True,,Pipeline 2026,Protein & Frozen,Nabil,Chicken product,QSR Private Label Key Account,0.0,0.0,FGF12487,,0.0,0.07,,,,,,,0.0,0.24,,,,,,,Mo’men Mafalha
Juniros - Cooked Spicy Chicken Fillet 1 KG - R,06-10-2026 00:12,True,1/31/2026,True,,Pipeline 2026,Protein & Frozen,Nabil,Chicken product,QSR Private Label Key Account,0.0,0.0,FGF12486,,0.0,0.07,,,,,,,0.0,0.19,,,,,,,Mo’men Mafalha
Buffalo Pure Minced Beef Meat Roll 1 KG,06-10-2026 00:12,True,03-02-2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Beef product,Nabil,0.27,0.0,FGF12446,03-02-2025,0.1,0.06,,,,,,,0.01,0.22,,,,,,,Mo’men Mafalha
